Hospital Name,Minimum Stock,Back up,Extra
"AMI Cosmetic Co.,Ltd.",2884,54,758
"Asclemed USA, Inc.",1035,238,720
Major Pharmaceuticals,1328,313,920
"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",2222,489,877
CVS PHARMACY,2137,168,948
GUANGXI YULIN PHARMACEUTICAL GROUP CO LTD,1817,322,534
Teva Pharmaceuticals USA Inc,2266,209,537
"Pedinol Pharmacal, Inc.",2964,172,538
"Energique, Inc.",1461,64,570
"Hospira, Inc.",1748,412,543
"Nelco Laboratories, Inc.",1408,219,806
The Medicine Shoppe International,2557,309,575
"KW ABSC, INC.",2288,335,899
Rebel Distributors Corp.,2110,305,982
"NCS HealthCare of KY, Inc dba Vangard Labs",1647,28,761
"Antigen Laboratories, Inc.",2396,242,581
"Three Rivers Pharmaceuticals, LLC.",2395,284,616
"Newton Laboratories, Inc.",2583,203,715
"MedVantx, Inc.",2672,107,537
"Par Pharmaceutical, Inc.",2843,219,867
OCuSOFT Inc.,2517,356,751
WOCKHARDT USA LLC,2234,429,675
"Nelco Laboratories, Inc.",1901,423,568
"Caraco Pharmaceutical Laboratories, Ltd.",2480,100,598
ReadyMeds,1413,225,880
Aidarex Pharmaceuticals LLC,1814,224,853
Micro Labs Limited,2839,474,976
Merck Sharp & Dohme Corp.,1094,122,804
"CCA Industries, Inc.",1187,358,500
RITE AID CORPORATION,2657,234,658
Walgreen Company,1477,150,645
BTA Pharmaceuticals,2508,71,744
BrandStorm HBC,2751,22,688
Carilion Materials Management,1656,400,914
SAFEWAY INC,1385,6,892
HOMEOLAB USA INC.,1631,378,607
L Perrigo Company,2947,104,549
BCM Cosmetique SAS,2512,124,803
Mylan Pharmaceuticals Inc.,1813,451,756
"Unichem Pharmaceuticals (USA), Inc.",2029,480,511
"Natural Creations, Inc.",2310,471,551
Bryant Ranch Prepack,2613,23,809
Amedra Pharmaceuticals LLC,2486,72,920
SHISEIDO AMERICAS CORPORATION,2398,478,787
Mylan Pharmaceuticals Inc.,1358,185,579
"SHISEIDO CO., LTD.",2581,133,926
S+,2700,405,736
Personal Care Products,1099,42,959
"Physicians Total Care, Inc.",2696,312,519
American Sales Company,1559,460,717
Teva Pharmaceuticals USA Inc,2921,25,990
"Aidance Skincare & Topical Solutions, LLC",2414,410,607
McKesson,1764,41,824
"Fallien Cosmeceuticals, LTD.",2721,2,993
"Physicians Total Care, Inc.",1222,135,659
THE KROGER CO,1614,122,945
"NCS HealthCare of KY, Inc dba Vangard Labs",2467,468,881
Estee Lauder Inc.,1751,96,667
Procter & Gamble Manufacturing Company,1799,4,529
American Health Packaging,2353,190,767
Mylan Pharmaceuticals Inc.,2449,131,519
"Aphena Pharma Solutions - Tennessee, LLC",1078,282,701
"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",1383,27,772
Personal Care Products,2384,145,987
Laderma Trading Pty Ltd,2038,406,886
Cardinal Health,2818,267,674
"Newton Laboratories, Inc.",2578,132,607
ESTEE LAUDER INC,2744,306,799
Amar Remedies Limited,2717,424,590
Sanofi Pasteur Inc.,2803,117,527
"Watson Laboratories, Inc.",1752,35,934
Northstar RxLLC,1800,490,826
"Hospira, Inc.",1126,378,815
McKesson,1903,191,773
Baxter Healthcare Corporation,2124,389,549
Hampton Homecare,2466,403,672
"Melaleuca, Inc.",1780,280,653
Laboratoires Industriels de Vichy (LIDV),1813,348,922
"PD-Rx Pharmaceuticals, Inc.",1646,231,877
"Wal-Mart Stores, Inc.",1514,307,705
GlaxoSmithKline LLC,2335,156,890
"DOLGENCORP, LLC",1245,163,942
"Antigen Laboratories, Inc.",2287,356,927
Aidarex Pharmaceuticals LLC,2342,130,744
"Oxarc, Inc.",2625,490,515
"Preferred Pharmaceuticals, Inc",1699,463,519
Amerisource Bergen,2079,280,979
Rebel Distributors Corp,1932,349,750
REMEDYREPACK INC.,1597,386,870
Amerisource Bergen,2254,172,910
AR Medicom Inc,2001,326,691
"Lupin Pharmaceuticals, Inc.",1017,197,566
Aidarex Pharmaceuticals LLC,1183,457,938
Camber Pharmaceuticals Inc.,1277,250,673
Kmart Corporation,2488,378,736
Cardinal Health,2423,329,982
Brands International,2651,492,705
Walgreen Company,2994,221,857
"Cinogen Cosmetics Zhaoqing, Ltd.",1763,295,761
Supervalu Inc,2304,409,719
"Gurwitch Products, LLC",2362,296,706
"ALK-Abello, Inc.",1257,352,790
Kmart Corporation,2896,138,677
LivDerma Inc.,2356,42,611
"Amneal Pharmaceuticals, LLC",1578,269,616
Parfums Christian Dior,1937,177,757
Liddell Laboratories,2793,106,715
STAT Rx USA LLC,1711,435,877
Qualitest Pharmaceuticals,2420,103,627
"Allergy Laboratories, Inc.",1487,223,584
Uriel Pharmacy Inc.,1336,72,711
Cardinal Health (Leader) 49781,1758,403,725
"The Man Can, LLC",1751,279,751
Cobalt Laboratories,1058,150,882
Wakefern Food Corporation,1687,92,531
Bryant Ranch Prepack,1128,245,892
Reckitt Benckiser LLC,1486,463,531
Cadila Healthcare Limited,1975,113,826
SUPERVALU INC.,1251,163,944
"Roxane Laboratories, Inc",1799,176,511
LAURA GELLER MAKE UP INC.,1169,407,844
Bayer HealthCare Pharmaceuticals Inc.,1142,14,626
"Wright & Filippis, Inc.",2678,171,947
ReadyMeds,1392,178,505
Vertical Pharmaceuticals Inc.,1741,246,693
"Bath & Body Works, Inc.",1657,499,632
"Physicians Total Care, Inc.",1215,445,665
"Physicians Total Care, Inc.",1888,275,546
Pacific Word Corporation,1898,381,748
Mary Kay Inc.,2026,405,894
Jafra Cosmetics International Inc,2785,222,554
H E B,2735,394,551
Nature's Way Holding Co,1481,111,899
Kroger Company,1900,20,743
"Antigen Laboratories, Inc.",2143,448,934
Reckitt Benckiser LLC,1523,84,839
"Taro Pharmaceuticals U.S.A., Inc.",2672,456,790
"Physicians Total Care, Inc.",1096,26,995
Wockhardt Limited,2773,439,594
LAURA GELLER MAKE UP INC.,2406,128,981
Baxter Healthcare Corporation,2250,391,694
"PD-Rx Pharmaceuticals, Inc.",2417,314,872
Meijer Distribution Inc,2308,136,585
"Nelco Laboratories, Inc.",2083,67,871
Rebel Distributors Corp,2598,142,726
McKesson Packaging Services Business Unit of McKesson Corporation.,2596,340,598
"Deseret Biologicals, Inc.",1707,344,772
Rocky Mountain Sunscreen,1649,22,669
"Quality Home Oxygen, Inc",1673,298,774
A-S Medication Solutions LLC,1956,114,990
Jubilant HollisterStier LLC,2176,392,713
"RECORDATI RARE DISEASES, INC.",2012,72,874
"Teva Respiratory, LLC",2505,500,695
Putney Inc,2017,491,564
Reckitt Benckiser LLC,2348,359,730
"NCS HealthCare of KY, Inc dba Vangard Labs",1379,152,770
"Akorn, Inc.",2675,86,598
King Bio Inc.,1211,436,977
Sandoz Inc,1308,344,644
"Allergy Laboratories, Inc.",1509,140,663
Forces of Nature,2526,251,752
Bryant Ranch Prepack,1288,133,743
"ALK-Abello, Inc.",2905,452,733
"LG Household and Healthcare, Inc.",1087,432,809
Bryant Ranch Prepack,2083,380,506
Novartis Pharmaceuticals Corporation,2254,492,647
INNOVATION SPECIALTIES,1103,119,966
"Bath & Body Works, Inc.",1431,330,773
"Aphena Pharma Solutions - Tennessee, LLC",1036,63,866
"Allergy Laboratories, Inc.",2679,140,878
Baxter Healthcare Corporation,1913,70,958
"Nelco Laboratories, Inc.",1089,304,812
"H.J. Harkins Company, Inc.",1656,482,633
Target Corporation,1814,40,539
State of Florida DOH Central Pharmacy,1480,344,964
"Nelco Laboratories, Inc.",1678,329,784
Crown Laboratories,2120,385,929
Eli Lilly and Company,1202,475,824
SMART SENSE (Kmart),2972,457,750
Ventura International LTD.,1225,213,872
Alternative Pharmacy,2219,110,817
"Nelco Laboratories, Inc.",2740,358,946
"Liberty Pharmaceuticals, Inc.",2839,290,965
L. Perrigo Company,2541,96,652
A-S Medication Solutions LLC,2119,7,610
"Nelco Laboratories, Inc.",2633,140,541
State of Florida DOH Central Pharmacy,1725,456,561
"Nelco Laboratories, Inc.",1422,304,685
Kmart Corporation,1055,495,776
Pharmadel LLC,2318,317,638
Rebel Distributors Corp,2857,104,817
American Health Packaging,2444,96,631
"Lupin Pharmaceuticals, Inc.",2500,457,942
"Nelco Laboratories, Inc.",1610,394,896
"Preferred Pharmaceuticals, Inc.",2352,36,588
"Harris Pharmaceutical, Inc.",1630,107,814
Bryant Ranch Prepack,2581,257,920
"Dermalogica, Inc.",2009,441,985
"Antigen Laboratories, Inc.",2216,39,913
Bayer HealthCare LLC,1416,262,874
"Caraco Pharmaceutical Laboratories, Ltd",2519,76,946
"Novartis Consumer Health, Inc.",2810,52,886
Good Neighbor Pharmacy,2803,206,560
"Hospira, Inc.",2314,338,905
STERIS Corporation,2800,475,519
American Health Packaging,2001,464,963
"AAA Pharmaceutical, Inc.",2658,460,895
American Health Packaging,2853,237,819
Unit Dose Services,1574,43,960
EQUALINE (SuperValu),1750,384,751
"Dispensing Solutions, Inc.",2936,328,687
"Marc Glassman, Inc.",1211,202,590
Rebel Distributors Corp,1313,14,554
"Dermazone Solutions, LLC",1526,48,541
"C.A Pharm Co., Ltd.",1033,46,589
"Prestige Brands Holdings, Inc.",2997,57,698
"BioActive Nutritional, Inc.",1509,272,821
"Daiichi Sankyo, Inc.",2729,208,965
"Janssen Pharmaceuticals, Inc.",2628,241,589
REMEDYREPACK INC.,2279,146,761
L Perrigo Company,1815,250,614
Rebel Distributors Corp,2066,293,862
"Antigen Laboratories, Inc.",1670,89,572
Wal-Mart Stores Inc,1829,461,586
Procter & Gamble Manufacturing Company,1663,312,900
CHANEL PARFUMS BEAUTE,2142,367,728
Actavis Elizabeth LLC,1117,222,849
Harmon Stores Inc.,1852,473,661
PRESCRIPTIVES INC.,2824,431,626
REMEDYREPACK INC.,2898,322,634
"ALK-Abello, Inc.",2854,217,752
"Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",2731,135,653
Teva Pharmaceuticals USA Inc,1748,488,977
Pfizer Laboratories Div Pfizer Inc,2660,388,550
"Napoleon Perdis Cosmetics, Inc",1462,149,734
"EMD Serono, Inc.",1077,482,544
"Bioelements, Inc.",1023,499,729
REMEDYREPACK INC.,1521,49,961
"Babor Cosmetics America, Corp",1143,197,661
"Native Remedies, LLC",1567,280,903
Mary Kay Inc.,2967,479,625
"Unichem Pharmaceuticals (USA), Inc.",1586,74,599
Valu Merchandisers Company,2804,277,522
"Golden State Medical Supply, Inc.",1247,358,886
EuroHom LLC,2545,490,587
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2354,470,928
"Taro Pharmaceuticals U.S.A., Inc.",2013,449,984
"Fenwal, Inc.",2839,23,712
"Galena Biopharma, Inc.",2091,53,614
Baxter Healthcare Corporation,2783,422,633
Meijer Distribution Inc,1344,96,905
"Koh Gen Do USA, Inc",1667,242,636
STAT RX USA LLC,2310,307,921
Topco Associates LLC,2426,205,984
SHISEIDO AMERICA INC.,2582,264,615
"Glenmark Generics Inc., USA",2631,315,577
AbbVie Inc.,2486,182,590
"Bath & Body Works, Inc.",2838,316,963
KINeSYS Pharmaceutical Inc.,2385,3,894
Conopco Inc. d/b/a Unilever,2357,485,524
G.D. Searle LLC Division of Pfizer Inc,1110,399,546
CVS,2008,437,615
Sanum Kehlbeck GmbH & Co. KG,2793,303,886
"WOONSOCKET PRESCRIPTION CENTER, INCORPORATED",1639,269,599
"Antigen Laboratories, Inc.",2449,470,804
Cardinal Health,1866,355,551
"SJ Creations, Inc.",1080,60,648
REMEDYREPACK INC.,2095,228,923
Filo America,2036,113,505
St. Marys Medical Park Pharmacy,2111,159,531
Rejoice International,2525,324,728
Sandoz Inc,1737,12,643
"Newton Laboratories, Inc.",2777,494,824
Faria LLC dba Sheffield Pharmaceutical,2929,403,926
Reckitt Benckiser LLC,2545,237,587
GlaxoSmithKline LLC,2761,238,775
NASH-FINCH COMPANY,1948,168,944
Hannaford Brothers Company,1891,469,902
Foster Regal Laboratories,1752,487,971
REMEDYREPACK INC.,2073,30,965
Jubilant Cadista Pharmaceuticals Inc,1879,75,803
Sandoz Inc.,1796,247,952
TYA Pharmaceuticals,2436,339,685
"NATURE REPUBLIC CO., LTD.",2984,204,983
"Alva-Amco Pharmacal Companies, Inc.",1982,173,647
US Pharmaceutical Corporation,1646,468,861
"Watson Pharma, Inc.",1752,75,513
"Bath & Body Works, Inc.",1257,191,741
"Great Lakes Wholesale & Marketing, LLC",2178,165,846
Bryant Ranch Prepack,1905,421,861
SAFEWAY INC.,1014,44,749
"BioActive Nutritional, Inc.",2896,374,564
Washington Homeopathic Products,2683,467,851
Total Resources International,2718,302,651
"DPT Laboratories, Ltd.",1239,438,732
Citron Pharma LLC,1849,170,586
Family Dollar Services Inc,2360,408,717
UNITED EXCHANGE CORP.,2279,198,982
"Shopko Stores Operating Co., LLC",1337,273,813
"The Yeon Co., Ltd.",1993,145,568
Lake Erie Medical DBA Quality Care Products LLC,2818,474,706
Cardinal Health,1609,140,809
Sunmark,1498,389,945
ReadyMeds,2393,185,863
Metro Welding Supply Corporation,1160,288,530
Meijer Distribution Inc,1082,37,843
"MEIJER, INC.",1066,362,827
Sagent Pharmaceuticals,2779,218,652
"Professional Disposables International, Inc.",2977,463,973
Bryant Ranch Prepack,1065,344,940
"Watson Laboratories, Inc.",2397,354,1000
"Newton Laboratories, Inc.",2416,208,916
"JHP Pharmaceuticals, LLC",1050,55,681
"Jiangsu Hengrui Medicine Co., Ltd.",2235,51,967
SHISEIDO AMERICA INC.,1614,361,714
Western Family Foods Inc,1727,309,523
"Antigen Laboratories, Inc.",2748,117,833
"Depomed, Inc.",2960,277,757
Actavis Mid Atlantic LLC,1218,351,554
"AvKARE, Inc.",1380,111,509
"Nelco Laboratories, Inc.",2913,87,883
Cardinal Health,2269,157,931
REMEDYREPACK INC.,2037,454,556
Aurobindo Pharma Limited,1143,313,987
Lake Erie Medical DBA Quality Care Products LLC,2555,198,577
AmerisourceBergen Drug Corporation (Good Neighbor Pharmacy),2516,83,721
"ALK-Abello, Inc.",1801,298,820
"MedVantx, Inc.",1035,0,703
"Premier Value (Chain Drug Consortium, LLC)",1123,472,697
L. Perrigo Company,1897,97,699
Cardinal Health,2311,376,759
Par Pharmaceutical Inc.,1195,415,686
Wakefern Food Corporation,1902,138,623
Natural Health Supply,1195,196,690
Jubilant Cadista Pharmaceuticals Inc.,1426,459,557
Mylan Institutional LLC,1099,491,766
Rebel Distributors Corp,1191,267,747
NorthStar RxLLC,1494,103,846
AR Medicom Inc,2258,324,650
REMEDYREPACK INC.,2207,61,537
Dr.Reddy's Laboratories Limited,2427,234,508
Sagent Pharmaceuticals,2207,71,518
AMOREPACIFIC,1228,314,711
"Seaboard Welding Supply Co., Inc.",2648,120,584
"Nelco Laboratories, Inc.",2763,7,892
"Breckenridge Pharmaceutical, Inc.",1138,135,915
"Antigen Laboratories, Inc.",1608,293,500
"Physicians Total Care, Inc.",1814,4,643
Safeway,1626,448,688
"Nelco Laboratories, Inc.",1079,447,794
Pfizer Laboratories Div Pfizer Inc,1068,204,907
TOPCO ASSOCIATES LLC,2072,263,747
"Cover FX Skin Care, Inc.",1027,259,742
Sandoz Inc,1152,421,708
Mercy Home Respiratory Care and Medical Supply,1312,454,809
"Xiamen Anna Global Co., Ltd",2976,293,534
Ranbaxy Pharmaceuticals Inc.,1501,238,501
The Kroger Co.,2413,34,510
"PD-Rx Pharmaceuticals, Inc.",1320,387,756
